location|,ID|,Mes1
34.16225, -88.77321|,D0CE0889-97E4-FBE5-66DE-E454EC436245|,0.4291632478
33.64164, 49.34058|,246F9099-9924-556F-6A4B-D7BF329CBE0B|,-0.0267703356
32.3997, -139.73716|,6EDB7C1F-12DC-4385-F2C7-4B43DDEFB5DE|,-0.1311884867
-53.10568, 157.09583|,6F4375C8-9E28-6C4D-825F-2BCE7262EF30|,0.1791957427
58.06553, -111.93461|,BA06B353-D701-AA07-6F27-C76AE9CB3281|,-0.2708894838
22.451, 86.88045|,1D7CD8F7-19BC-F6E3-4DB0-B7B787BCE3AE|,0.1195621506
-15.46707, 39.41841|,E6997492-360C-00B1-3166-A43EF2E95FFE|,0.4547269301
-72.15688, 70.54661|,337E045F-A378-7135-D016-75DC3CBB66E7|,0.2617420431
79.17333, -12.69127|,23800787-2F29-F26F-F29F-9D1248D8D062|,-0.1764879495
-55.99968, -139.93032|,D4AFAEAC-02E3-4BED-AF22-8108D47BDF8D|,0.6979853055
48.97296, 56.04997|,E3A513C5-B306-A47F-B90C-176B4D538626|,-0.0745871911
-43.50398, -123.56399|,5B0538DE-C205-D378-8024-ED1D2261814D|,-0.0516409625
-55.92446, -147.87697|,369E282B-E9D1-4C1A-A130-7CBFBE5019D5|,0.273691284
-14.0784, 86.21558|,586B45A2-2A80-0704-7B9A-CA5545821867|,0.0032105018
-31.18612, -166.61746|,88D743C2-3F8B-6058-6D98-ADEE628BA14D|,0.2673662826
-38.89461, -158.12893|,55CE594D-632C-3AF8-35BB-242DA3275FF9|,0.1645066481
-63.15717, -76.9971|,B3C8310C-A049-BCCC-C85D-7E9864D14C32|,-0.2788727166
58.79991, -60.60493|,60EA5D54-D09F-D3CA-0FA8-F666BF175182|,-0.4763048989
-18.27713, -59.37701|,387E78C4-B6E9-8608-7C3C-018756477719|,0.068954504
68.52708, -101.05122|,F9258B67-E9AA-521E-8ABE-DCCEB8F33FB6|,-0.3333916909
19.62459, 34.8722|,6B79C98E-0632-37A8-2DFB-D63FA15D4190|,0.0533122297
