location|,ID|,Mes1
47.20307, -8.01249|,06E891C3-D271-8D8D-6F80-C94550B5085D|,-0.3582969244
67.03221, 170.24508|,B4018126-8AC0-D716-F71F-682AAFEF087C|,-0.1364690884
58.79999, -42.06576|,34E78868-4829-15FA-759B-B81C84C1AA8C|,-0.1910446101
71.30073, -91.35736|,66A7C734-1E7A-AF55-A7FC-B99B6680676E|,-0.0907434339
27.96386, -27.23758|,1AAFF495-3B30-D12C-3F7A-AB9E2A51E86B|,-0.0709973285
-78.67334, -146.49035|,00BB2EE5-D424-E26A-70FC-87E84E933F44|,-0.1811929868
-56.49361, -130.58574|,3BFEEE56-173E-BDCD-2D49-0EC893D87E53|,0.0716585158
80.41835, -89.42987|,887F64FA-2EFA-1B2B-544A-2A12DB15D7B8|,-0.5173411961
80.48204, -81.11713|,80C45D66-98DF-7E47-6565-81E6BE037144|,0.1932869769
75.20092, 131.94191|,8C7D1E5B-9DE4-5102-B048-8C1BD4C18247|,0.2760996708
28.33789, -86.22479|,A672E1DB-8F26-62EA-0FA6-4A05D2D551C6|,-0.6643783381
41.39509, -26.33585|,06FD9D10-C890-C2A1-D4D0-6B1B659C9DF7|,-0.1244244507
7.5798, 76.8091|,35808DD9-1F61-0BE0-027D-8402FAD64B60|,0.1089657052
-13.13276, -34.06172|,88AF680C-CBD9-EB92-BF50-6ED91E46A198|,-0.2845178636
-10.97431, -49.10913|,3FC10B7C-3B8C-B106-9FC3-3AD320707B66|,-0.3389281143
0.47776, 45.34329|,BC2DF3A2-E303-1E1E-B19C-ABFC31A79BE9|,0.1963444928
-65.2673, 117.85287|,A3B3D71D-C769-8B77-915D-8166314AC604|,0.3427214523
-54.85109, -104.50992|,312171F2-6AD3-271B-B044-493AA3B1C215|,-0.5348356992
6.25428, -111.23101|,FCD5F4A7-1CAE-7D32-0152-B205AC02E01C|,0.3435809442
-56.46834, 53.22691|,35E6EA8F-59FF-7D3C-F6BE-B0E6872AB060|,0.116866583
69.89862, -138.06244|,07E647A0-12E5-090F-99D3-5CFCCCA52952|,0.3390575324
-74.17351, 77.08151|,267E832F-EDA9-7789-DDD4-6F893BE7B6F9|,-0.0105362653
22.76215, -27.57311|,051B0DBE-5318-1DE1-FAB7-AB578828EED3|,-0.0599164665
-27.85724, -157.6748|,B8D5A82B-93BF-6C3C-B22A-EED125396E7F|,-0.5353900206
56.41235, 153.88849|,34AC8E5F-1184-62C0-CF17-A9D36E8B4EFA|,-0.1134736836
33.39466, 67.08163|,A9C15897-1237-72FE-EDDB-EE95BFAA223A|,0.390745307
41.78827, 127.21604|,57693925-203B-66F8-AD23-7E61722B4277|,0.0778858626
-77.4921, -41.25788|,F832428B-D91A-2D42-9E04-C1906B62AE4C|,-0.033483463
62.58958, 171.84675|,58BAEEFD-F63B-C217-312D-36AAF52525EE|,0.1456006917
37.37059, 146.2149|,B7B4B2B1-0A93-19F4-3D32-76EF050D0B40|,0.0381580639
-28.39821, -45.25906|,4AAB7AFD-F86D-7A89-6BDF-64807232E83E|,-0.2239069328
18.94489, 2.64741|,01DD1B9F-46EF-4B4E-EC4A-C4447F92B56F|,0.0828772246
-8.23468, 67.16545|,AD935358-C775-71E3-F272-43D3F4874491|,0.029743178
-11.22071, 105.09434|,6BDCAB90-164D-AEBE-AEE0-E7E212C61117|,0.0452499492
-57.9009, -0.17094|,A90F6E64-3EBA-7C7D-70B5-3F38F1729167|,-0.1543548487
-38.03453, -53.44983|,99EBDDC8-F352-D847-0756-5BA319E5782B|,0.1230236625
47.63075, -76.93619|,21A0120F-C214-2238-A880-520D41F0F9B4|,-0.1528067466
79.53885, 2.1568|,8D2615C5-3986-87BE-C62F-5AFA2821134E|,-0.2670870626
19.07077, 30.49565|,4B0C374A-B31F-477B-38FE-D464ABAE7B9B|,-0.2014179511
68.08504, 86.69044|,DB27C12A-F8D4-F89A-596D-1B056C24F109|,0.1189250495
-20.45647, 163.55419|,35C3C9D1-8368-7DF8-676C-350BC6E3DB65|,0.2139910395
21.49203, -141.05419|,DB65BC9A-0E2A-13A4-B3AE-952790E43E1C|,-0.3283664855
6.2292, -89.71196|,3321D8E7-6B0E-0B73-5351-547F31172E30|,-0.3241301277
-43.52921, 12.48712|,9CE2AE87-15CF-933C-1CE3-7E4F3765F44B|,-0.0348846192
17.15375, -4.63624|,1E9C46DE-2B0F-9C70-B233-656AF537212A|,0.2256949234
-69.63106, -141.40667|,0DF1A5D0-3CEA-22FB-B62D-D7BFF4AEAC2F|,-0.5092560973
